Project Name,Package Name,Type Name,Method Name,Code Smell
aem-modernize-tools,com.adobe.aem.modernize.policy.impl,PolicyImportRuleServiceImplTest,testOverrideShallow,Long Statement
aem-modernize-tools,com.adobe.aem.modernize.policy.impl,PolicyImportRuleServiceImplTest,testOverrideShallow,Long Statement
aem-modernize-tools,com.adobe.aem.modernize.policy.impl,PolicyImportRuleServiceImplTest,testOverrideShallow,Magic Number
aem-modernize-tools,com.adobe.aem.modernize.policy.impl,PolicyImportRuleServiceImplTest,testNotOverriddenShallow,Long Statement
aem-modernize-tools,com.adobe.aem.modernize.policy.impl,PolicyImportRuleServiceImplTest,testDeepApply,Long Statement
aem-modernize-tools,com.adobe.aem.modernize.policy.impl,PolicyTreeImporterTest,skipsFinal,Magic Number
aem-modernize-tools,com.adobe.aem.modernize.policy.impl,PolicyTreeImporterTest,setsMeta,Long Statement
aem-modernize-tools,com.adobe.aem.modernize.policy.impl,PolicyTreeImporterTest,setsMeta,Long Statement
aem-modernize-tools,com.adobe.aem.modernize.policy.impl,PolicyTreeImporterTest,setsMeta,Long Statement
aem-modernize-tools,com.adobe.aem.modernize.policy.impl,PolicyTreeImporterTest,setsMeta,Magic Number
aem-modernize-tools,com.adobe.aem.modernize.policy.impl,PolicyTreeImporterTest,skipsSetMeta,Long Statement
aem-modernize-tools,com.adobe.aem.modernize.policy.impl,PolicyTreeImporterTest,skipsSetMeta,Long Statement
aem-modernize-tools,com.adobe.aem.modernize.policy.impl,PolicyTreeImporterTest,skipsSetMeta,Long Statement
aem-modernize-tools,com.adobe.aem.modernize.policy.impl,PolicyTreeImporterTest,skipsSetMeta,Magic Number
aem-modernize-tools,com.adobe.aem.modernize.policy.impl,PolicyTreeImporterTest,skipsImported,Long Statement
aem-modernize-tools,com.adobe.aem.modernize.policy.impl,PolicyTreeImporterTest,skipsImported,Magic Number
aem-modernize-tools,com.adobe.aem.modernize.policy.impl,PolicyTreeImporterTest,overridesImported,Magic Number
aem-modernize-tools,com.adobe.aem.modernize.policy.job,PolicyJobExecutorTest,testProcessSuccessesNoOverwrite,Magic Number
aem-modernize-tools,com.adobe.aem.modernize.policy.job,PolicyJobExecutorTest,testProcessSuccessesNoOverwrite,Magic Number
aem-modernize-tools,com.adobe.aem.modernize.policy.job,PolicyJobExecutorTest,testProcessSuccessesNoOverwrite,Magic Number
aem-modernize-tools,com.adobe.aem.modernize.policy.job,PolicyJobExecutorTest,testProcessSuccessesNoOverwrite,Magic Number
aem-modernize-tools,com.adobe.aem.modernize.policy.job,PolicyJobExecutorTest,testProcessSuccessesOverwrite,Magic Number
aem-modernize-tools,com.adobe.aem.modernize.policy.job,PolicyJobExecutorTest,testProcessSuccessesOverwrite,Magic Number
aem-modernize-tools,com.adobe.aem.modernize.policy.job,PolicyJobExecutorTest,testProcessSuccessesOverwrite,Magic Number
aem-modernize-tools,com.adobe.aem.modernize.policy.job,PolicyJobExecutorTest,testProcessSuccessesOverwrite,Magic Number
aem-modernize-tools,com.adobe.aem.modernize.policy.job,PolicyJobExecutorTest,testDoProcessFailures,Magic Number
aem-modernize-tools,com.adobe.aem.modernize.policy.job,PolicyJobExecutorTest,testDoProcessFailures,Magic Number
aem-modernize-tools,com.adobe.aem.modernize.policy.job,PolicyJobExecutorTest,testDoProcessFailures,Magic Number
aem-modernize-tools,com.adobe.aem.modernize.policy.job,PolicyJobExecutorTest,testDoProcessFailures,Magic Number
aem-modernize-tools,com.adobe.aem.modernize.policy,PolicyImportRuleService,apply,Long Parameter List
aem-modernize-tools,com.adobe.aem.modernize.policy.rule.impl,NodeBasedPolicyImportRuleTest,testApplyTo,Long Statement
aem-modernize-tools,com.adobe.aem.modernize.rule.impl,AbstractRewriteRuleService,getHitPaths,Magic Number
aem-modernize-tools,com.adobe.aem.modernize.rule.impl,NodeBasedRewriteRule,applyTo,Complex Method
aem-modernize-tools,com.adobe.aem.modernize.rule.impl,NodeBasedRewriteRule,applyTo,Long Identifier
aem-modernize-tools,com.adobe.aem.modernize.rule.impl,NodeBasedRewriteRule,matchProperties,Complex Method
aem-modernize-tools,com.adobe.aem.modernize.rule.impl,NodeBasedRewriteRule,matchTree,Complex Method
aem-modernize-tools,com.adobe.aem.modernize.rule.impl,NodeBasedRewriteRule,mapProperty,Complex Method
aem-modernize-tools,com.adobe.aem.modernize.rule.impl,NodeBasedRewriteRule,mapProperty,Magic Number
aem-modernize-tools,com.adobe.aem.modernize.rule.impl,NodeBasedRewriteRule,mapProperty,Magic Number
aem-modernize-tools,com.adobe.aem.modernize.rule.impl,NodeBasedRewriteRule,processProperties,Complex Method
aem-modernize-tools,com.adobe.aem.modernize.rule.impl,NodeBasedRewriteRule,processProperties,Long Parameter List
